,country,year,gdp,cement_co2,fossil_fuel_co2
35259,Philippines,1946,19338250240.0,0.029,0.084
35260,Philippines,1947,26976509952.0,0.065,0.132
35261,Philippines,1948,31530194944.0,0.058,0.158
35262,Philippines,1949,33523144704.0,0.098,0.22
35263,Philippines,1950,36049936384.0,0.145,3.4589999999999996
35264,Philippines,1951,39957430272.0,0.153,3.4000000000000004
35265,Philippines,1952,42409127936.0,0.153,3.8989999999999996
35266,Philippines,1953,46221742080.0,0.145,3.8880000000000003
35267,Philippines,1954,49679314944.0,0.153,5.178
35268,Philippines,1955,53157363712.0,0.196,6.42
35269,Philippines,1956,56877154304.0,0.215,6.039
35270,Philippines,1957,59939975168.0,0.251,6.478
35271,Philippines,1958,62008238080.0,0.316,7.244
35272,Philippines,1959,66250981376.0,0.36,6.867
35273,Philippines,1960,67128594432.0,0.393,7.933
35274,Philippines,1961,70879199232.0,0.505,8.208
35275,Philippines,1962,74296893440.0,0.476,9.86
35276,Philippines,1963,79496470528.0,0.469,11.003
35277,Philippines,1964,82248589312.0,0.592,12.23
35278,Philippines,1965,86595485696.0,0.756,13.208
35279,Philippines,1966,90426064896.0,0.796,15.309
35280,Philippines,1967,95250677760.0,1.043,17.166
35281,Philippines,1968,99985080320.0,1.268,20.954
35282,Philippines,1969,104606236672.0,1.457,21.372000000000003
35283,Philippines,1970,108553592832.0,1.21,23.541
35284,Philippines,1971,114467545088.0,1.541,26.011000000000003
35285,Philippines,1972,120671313920.0,1.436,24.974
35286,Philippines,1973,131496108032.0,2.006,29.495
35287,Philippines,1974,136133255168.0,1.73,28.763
35288,Philippines,1975,143695708160.0,2.108,30.374
35289,Philippines,1976,156320022528.0,2.207,32.858999999999995
35290,Philippines,1977,165102796800.0,2.044,34.632
35291,Philippines,1978,173707444224.0,2.096,35.285000000000004
35292,Philippines,1979,183436886016.0,1.893,36.138
35293,Philippines,1980,192910475264.0,2.13,34.738
35294,Philippines,1981,199457193984.0,1.93,32.599
35295,Philippines,1982,206677147648.0,2.038,32.8
35296,Philippines,1983,210595332096.0,2.036,33.202999999999996
35297,Philippines,1984,195158589440.0,1.684,29.147
35298,Philippines,1985,180907327488.0,1.408,26.490000000000002
35299,Philippines,1986,187086782464.0,1.607,27.418
35300,Philippines,1987,195165618176.0,1.495,31.000999999999998
35301,Philippines,1988,208280780800.0,1.827,35.658
35302,Philippines,1989,221233807360.0,1.603,37.303
35303,Philippines,1990,227937189888.0,2.79,38.559999999999995
35304,Philippines,1991,228447698944.0,3.021,40.449999999999996
35305,Philippines,1992,230919372800.0,2.903,45.389
35306,Philippines,1993,237660504064.0,3.455,45.474
35307,Philippines,1994,250039762944.0,4.138,49.985
35308,Philippines,1995,263686193152.0,4.547,55.403999999999996
35309,Philippines,1996,281310527488.0,5.335,55.92
35310,Philippines,1997,298146725888.0,6.279,63.783
35311,Philippines,1998,298757750784.0,5.492,62.760000000000005
35312,Philippines,1999,310266101760.0,5.331,62.845000000000006
35313,Philippines,2000,326462603264.0,5.059,67.289
35314,Philippines,2001,338531942400.0,3.623,66.68
35315,Philippines,2002,353568391168.0,5.553,64.604
35316,Philippines,2003,374041673728.0,5.359,64.857
35317,Philippines,2004,402137743360.0,5.416,67.355
35318,Philippines,2005,424650342400.0,6.221,67.051
35319,Philippines,2006,450316369920.0,4.88,61.643
35320,Philippines,2007,483816439808.0,5.155,65.60799999999999
35321,Philippines,2008,507831517184.0,5.168,72.133
35322,Philippines,2009,517597462528.0,5.67,70.821
35323,Philippines,2010,561436033024.0,6.056,76.896
35324,Philippines,2011,586460954624.0,6.114,77.629
35325,Philippines,2012,625662230528.0,7.218,81.191
35326,Philippines,2013,669825564672.0,7.715,88.07900000000001
35327,Philippines,2014,711518781440.0,8.155,93.029
35328,Philippines,2015,753489674240.0,9.206,102.94
35329,Philippines,2016,805057069056.0,8.804,112.668
35330,Philippines,2017,858818805760.0,9.952,124.94999999999999
35331,Philippines,2018,912443441152.0,10.603,130.709
35332,Philippines,2019,991316346836.3647,10.603,133.4
35333,Philippines,2020,951665480000.7831,8.804,123.899
35334,Philippines,2021,1036732961826.6799,10.335,132.256
35335,Philippines,2022,1063558311016.2849,10.335,139.925
43200,Thailand,1950,26094198784.0,0.084,0.872
43201,Thailand,1951,27943960576.0,0.153,0.9380000000000001
43202,Thailand,1952,29485821952.0,0.123,1.155
43203,Thailand,1953,32726595584.0,0.142,1.502
43204,Thailand,1954,32462198784.0,0.189,1.861
43205,Thailand,1955,35317682176.0,0.189,2.184
43206,Thailand,1956,35930312704.0,0.196,2.422
43207,Thailand,1957,36335820800.0,0.2,2.722
43208,Thailand,1958,37656809472.0,0.225,2.792
43209,Thailand,1959,42160910336.0,0.251,3.0709999999999997
43210,Thailand,1960,47266906112.0,0.262,3.448
43211,Thailand,1961,49743294464.0,0.4,3.741
43212,Thailand,1962,53581279232.0,0.476,4.550000000000001
43213,Thailand,1963,57963802624.0,0.491,5.071000000000001
43214,Thailand,1964,61933268992.0,0.523,6.947
43215,Thailand,1965,66849222656.0,0.618,6.822
43216,Thailand,1966,74363576320.0,0.734,8.731000000000002
43217,Thailand,1967,80603447296.0,0.857,11.293000000000001
43218,Thailand,1968,87150755840.0,1.17,15.905000000000001
43219,Thailand,1969,94018289664.0,1.188,13.352
43220,Thailand,1970,100145348608.0,1.297,14.055
43221,Thailand,1971,105055223808.0,1.355,17.846999999999998
43222,Thailand,1972,109423362048.0,1.622,20.137
43223,Thailand,1973,120382742528.0,1.756,22.588
43224,Thailand,1974,125775708160.0,1.83,22.273999999999997
43225,Thailand,1975,132015456256.0,1.83,22.406
43226,Thailand,1976,144055664640.0,2.024,26.531000000000002
43227,Thailand,1977,158271602688.0,2.282,29.587
43228,Thailand,1978,173964918784.0,2.238,32.504
43229,Thailand,1979,183049027584.0,2.276,34.086
43230,Thailand,1980,191441879040.0,2.275,37.442
43231,Thailand,1981,202771415040.0,2.627,34.897
43232,Thailand,1982,213618819072.0,2.727,34.585
43233,Thailand,1983,225512488960.0,2.948,38.799
43234,Thailand,1984,238519435264.0,3.288,41.827999999999996
43235,Thailand,1985,249623871488.0,3.106,44.68600000000001
43236,Thailand,1986,263410237440.0,3.049,45.719
43237,Thailand,1987,288520110080.0,3.729,49.842
43238,Thailand,1988,326878396416.0,4.281,56.21
43239,Thailand,1989,366691713024.0,5.483,65.92
43240,Thailand,1990,407627792384.0,6.468,80.095
43241,Thailand,1991,439083565056.0,5.995,89.049
43242,Thailand,1992,476583460864.0,8.232,97.28099999999999
43243,Thailand,1993,514625699840.0,12.064,109.79100000000001
43244,Thailand,1994,552247492608.0,13.357,123.335
43245,Thailand,1995,593301602304.0,15.337,138.072
43246,Thailand,1996,622895955968.0,17.355,155.96200000000002
43247,Thailand,1997,601920897024.0,19.34,161.612
43248,Thailand,1998,552405762048.0,13.279,146.198
43249,Thailand,1999,574009180160.0,16.077,150.88299999999998
43250,Thailand,2000,595846889472.0,15.299,151.767
43251,Thailand,2001,612467343360.0,17.47,154.50900000000001
43252,Thailand,2002,645971836928.0,19.739,164.651
43253,Thailand,2003,688026353664.0,17.49,173.233
43254,Thailand,2004,726679355392.0,18.26,188.618
43255,Thailand,2005,752297639936.0,20.236,193.63400000000001
43256,Thailand,2006,784687300608.0,21.226,194.20000000000002
43257,Thailand,2007,822075064320.0,22.01,201.68899999999996
43258,Thailand,2008,830943461376.0,19.441,204.435
43259,Thailand,2009,820031258624.0,18.68,209.738
43260,Thailand,2010,876003852288.0,18.486,222.138
43261,Thailand,2011,877821296640.0,18.206,225.976
43262,Thailand,2012,941351305216.0,18.746,242.603
